Model,TBS2102B
Firmware Version,v1.32.139

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1,
Sample Interval,0.008,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,10,1
Label,,
TIME,CH1,CH2
-8.000e+00,7.4,0.1
-7.992e+00,7.8,0.1
-7.984e+00,7.8,0.1
-7.976e+00,7.8,0.1
-7.968e+00,8.2,0.1
-7.960e+00,7.8,0.1
-7.952e+00,7.8,0.1
-7.944e+00,7.8,0.1
-7.936e+00,7.4,0.1
-7.928e+00,7.8,0.1
-7.920e+00,7.8,0.1
-7.912e+00,8.2,0.1
-7.904e+00,7.8,0.1
-7.896e+00,7.8,0.1
-7.888e+00,7.8,0.1
-7.880e+00,7.8,0.1
-7.872e+00,7.8,0.1
-7.864e+00,8.2,0.1
-7.856e+00,7.8,0.1
-7.848e+00,7.8,0.1
-7.840e+00,7.8,0.06
-7.832e+00,8.2,0.1
-7.824e+00,7.8,0.06
-7.816e+00,8.2,0.06
-7.808e+00,7.8,0.06
-7.800e+00,8.2,0.06
-7.792e+00,7.8,0.06
-7.784e+00,7.8,0.06
-7.776e+00,7.8,0.06
-7.768e+00,7.8,0.1
-7.760e+00,7.8,0.06
-7.752e+00,7.8,0.06
-7.744e+00,7.8,0.1
-7.736e+00,7.8,0.1
-7.728e+00,7.8,0.06
-7.720e+00,7.8,0.06
-7.712e+00,7.8,0.1
-7.704e+00,7.8,0.1
-7.696e+00,7.8,0.1
-7.688e+00,7.8,0.1
-7.680e+00,8.2,0.1
-7.672e+00,7.8,0.1
-7.664e+00,7.8,0.1
-7.656e+00,7.8,0.06
-7.648e+00,8.2,0.06
-7.640e+00,7.8,0.06
-7.632e+00,8.2,0.06
-7.624e+00,7.8,0.06
-7.616e+00,7.8,0.1
-7.608e+00,8.2,0.06
-7.600e+00,8.2,0.1
-7.592e+00,7.8,0.1
-7.584e+00,8.2,0.1
-7.576e+00,7.8,0.1
-7.568e+00,8.2,0.1
-7.560e+00,8.2,0.1
-7.552e+00,8.2,0.06
-7.544e+00,7.8,0.06
-7.536e+00,8.2,0.1
-7.528e+00,8.2,0.1
-7.520e+00,8.2,0.06
-7.512e+00,8.2,0.1
-7.504e+00,8.2,0.1
-7.496e+00,8.2,0.06
-7.488e+00,8.2,0.06
-7.480e+00,8.2,0.06
-7.472e+00,8.2,0.02
-7.464e+00,8.2,0.06
-7.456e+00,8.2,0.06
-7.448e+00,7.8,0.06
-7.440e+00,8.2,0.06
-7.432e+00,8.6,0.06
-7.424e+00,8.2,0.06
-7.416e+00,8.2,0.06
-7.408e+00,8.2,0.06
-7.400e+00,8.2,0.06
-7.392e+00,8.2,0.1
-7.384e+00,8.2,0.1
-7.376e+00,8.2,0.06
-7.368e+00,8.2,0.06
-7.360e+00,8.2,0.06
-7.352e+00,8.2,0.1
-7.344e+00,8.2,0.06
-7.336e+00,8.2,0.1
-7.328e+00,8.2,0.1
-7.320e+00,8.2,0.06
-7.312e+00,8.2,0.06
-7.304e+00,8.2,0.06
-7.296e+00,8.2,0.06
-7.288e+00,8.2,0.06
-7.280e+00,8.2,0.06
-7.272e+00,8.2,0.1
-7.264e+00,8.2,0.1
-7.256e+00,8.2,0.06
-7.248e+00,8.2,0.06
-7.240e+00,8.6,0.1
-7.232e+00,8.2,0.1
-7.224e+00,8.2,0.06
-7.216e+00,8.2,0.1
-7.208e+00,8.2,0.1
-7.200e+00,8.6,0.1
-7.192e+00,8.2,0.06
-7.184e+00,8.2,0.1
-7.176e+00,8.2,0.1
-7.168e+00,8.2,0.06
-7.160e+00,8.2,0.06
-7.152e+00,8.2,0.1
-7.144e+00,8.2,0.06
-7.136e+00,8.2,0.06
-7.128e+00,8.6,0.06
-7.120e+00,8.2,0.06
-7.112e+00,8.6,0.06
-7.104e+00,8.6,0.06
-7.096e+00,8.6,0.06
-7.088e+00,8.2,0.06
-7.080e+00,8.6,0.06
-7.072e+00,8.6,0.06
-7.064e+00,8.6,0.1
-7.056e+00,8.6,0.06
-7.048e+00,8.6,0.1
-7.040e+00,8.2,0.06
-7.032e+00,8.6,0.06
-7.024e+00,8.6,0.1
-7.016e+00,9,0.1
-7.008e+00,8.6,0.1
-7.000e+00,8.6,0.06
-6.992e+00,8.6,0.1
-6.984e+00,8.6,0.1
-6.976e+00,8.6,0.06
-6.968e+00,8.6,0.06
-6.960e+00,9,0.06
-6.952e+00,8.6,0.06
-6.944e+00,9,0.06
-6.936e+00,8.6,0.06
-6.928e+00,8.6,0.1
-6.920e+00,8.6,0.06
-6.912e+00,8.6,0.1
-6.904e+00,8.6,0.1
-6.896e+00,8.6,0.06
-6.888e+00,8.6,0.1
-6.880e+00,8.6,0.06
-6.872e+00,9,0.06
-6.864e+00,8.6,0.06
-6.856e+00,8.6,0.1
-6.848e+00,8.6,0.1
-6.840e+00,8.6,0.1
-6.832e+00,8.6,0.1
-6.824e+00,8.6,0.1
-6.816e+00,8.6,0.1
-6.808e+00,8.6,0.1
-6.800e+00,9,0.06
-6.792e+00,8.6,0.06
-6.784e+00,8.6,0.1
-6.776e+00,8.6,0.1
-6.768e+00,8.6,0.1
-6.760e+00,8.6,0.1
-6.752e+00,8.6,0.06
-6.744e+00,8.6,0.1
-6.736e+00,9,0.1
-6.728e+00,9,0.06
-6.720e+00,8.6,0.06
-6.712e+00,9,0.1
-6.704e+00,9,0.1
-6.696e+00,9,0.06
-6.688e+00,9,0.1
-6.680e+00,8.6,0.06
-6.672e+00,9,0.06
-6.664e+00,9,0.06
-6.656e+00,9,0.06
-6.648e+00,9,0.1
-6.640e+00,9,0.06
-6.632e+00,9,0.06
-6.624e+00,8.6,0.06
-6.616e+00,9,0.06
-6.608e+00,9,0.06
-6.600e+00,9,0.06
-6.592e+00,9,0.06
-6.584e+00,9,0.06
-6.576e+00,9,0.1
-6.568e+00,9,0.06
-6.560e+00,9,0.1
-6.552e+00,9,0.06
-6.544e+00,9.4,0.06
-6.536e+00,9,0.1
-6.528e+00,9,0.1
-6.520e+00,9.4,0.06
-6.512e+00,9,0.1
-6.504e+00,9,0.06
-6.496e+00,9,0.1
-6.488e+00,9,0.06
-6.480e+00,9,0.1
-6.472e+00,9,0.1
-6.464e+00,9,0.1
-6.456e+00,9,0.06
-6.448e+00,9,0.06
-6.440e+00,9,0.1
-6.432e+00,9,0.1
-6.424e+00,9,0.1
-6.416e+00,9,0.1
-6.408e+00,9,0.06
-6.400e+00,9,0.06
-6.392e+00,9,0.1
-6.384e+00,9,0.1
-6.376e+00,9,0.1
-6.368e+00,9,0.06
-6.360e+00,9,0.1
-6.352e+00,9,0.1
-6.344e+00,9.4,0.1
-6.336e+00,9.4,0.1
-6.328e+00,9,0.1
-6.320e+00,9.4,0.1
-6.312e+00,9.4,0.06
-6.304e+00,9.4,0.1
-6.296e+00,9,0.1
-6.288e+00,9.4,0.06
-6.280e+00,9.4,0.1
-6.272e+00,9,0.06
-6.264e+00,9.4,0.1
-6.256e+00,9,0.06
-6.248e+00,9.4,0.06
-6.240e+00,9,0.1
-6.232e+00,9.4,0.1
-6.224e+00,9.4,0.06
-6.216e+00,9.4,0.1
-6.208e+00,9.4,0.1
-6.200e+00,9.8,0.1
-6.192e+00,9.4,0.1
-6.184e+00,9.4,0.06
-6.176e+00,9.8,0.1
-6.168e+00,9.4,0.06
-6.160e+00,9.4,0.1
-6.152e+00,9.4,0.1
-6.144e+00,9.4,0.1
-6.136e+00,9.4,0.1
-6.128e+00,9.4,0.1
-6.120e+00,9.4,0.1
-6.112e+00,9.4,0.1
-6.104e+00,9.4,0.1
-6.096e+00,9.4,0.1
-6.088e+00,9.4,0.1
-6.080e+00,9.4,0.14
-6.072e+00,9.4,0.1
-6.064e+00,9.4,0.1
-6.056e+00,9.4,0.1
-6.048e+00,9.4,0.1
-6.040e+00,9.4,0.1
-6.032e+00,9.4,0.14
-6.024e+00,9.4,0.14
-6.016e+00,9.4,0.14
-6.008e+00,9.8,0.14
-6.000e+00,9.4,0.14
-5.992e+00,9.4,0.14
-5.984e+00,9.4,0.18
-5.976e+00,9.4,0.18
-5.968e+00,9.4,0.14
-5.960e+00,9.8,0.14
-5.952e+00,9.8,0.18
-5.944e+00,9.4,0.14
-5.936e+00,9.8,0.18
-5.928e+00,9.4,0.18
-5.920e+00,9.4,0.22
-5.912e+00,9.4,0.18
-5.904e+00,9.4,0.18
-5.896e+00,9.4,0.18
-5.888e+00,9.8,0.18
-5.880e+00,9.8,0.18
-5.872e+00,9.8,0.22
-5.864e+00,9.8,0.22
-5.856e+00,9.8,0.22
-5.848e+00,9.4,0.18
-5.840e+00,9.8,0.22
-5.832e+00,9.8,0.22
-5.824e+00,9.8,0.22
-5.816e+00,9.8,0.26
-5.808e+00,9.8,0.26
-5.800e+00,9.8,0.26
-5.792e+00,9.8,0.3
-5.784e+00,9.8,0.3
-5.776e+00,9.8,0.26
-5.768e+00,9.8,0.34
-5.760e+00,9.8,0.3
-5.752e+00,9.8,0.3
-5.744e+00,9.4,-2.38
-5.736e+00,9.4,-2.38
-5.728e+00,9.4,-2.38
-5.720e+00,9.4,-2.38
-5.712e+00,9,-2.38
-5.704e+00,9,-2.38
-5.696e+00,9,-2.38
-5.688e+00,9,-2.38
-5.680e+00,9,-2.38
-5.672e+00,9,-2.38
-5.664e+00,8.6,-2.38
-5.656e+00,8.6,-2.38
-5.648e+00,8.6,-2.38
-5.640e+00,8.6,-2.38
-5.632e+00,8.6,-2.38
-5.624e+00,8.2,-2.38
-5.616e+00,8.6,-2.38
-5.608e+00,8.2,-2.38
-5.600e+00,7.8,-2.38
-5.592e+00,7.8,-2.38
-5.584e+00,7.8,-2.38
-5.576e+00,7.4,-2.38
-5.568e+00,7.4,-2.38
-5.560e+00,7.4,-2.38
-5.552e+00,7.4,-2.38
-5.544e+00,7,-2.38
-5.536e+00,7,-2.38
-5.528e+00,7,-2.38
-5.520e+00,7,-2.38
-5.512e+00,7,-2.38
-5.504e+00,6.6,-2.38
-5.496e+00,7,-2.38
-5.488e+00,7,-2.38
-5.480e+00,6.6,-2.38
-5.472e+00,6.6,-2.38
-5.464e+00,6.2,-2.38
-5.456e+00,6.2,-2.38
-5.448e+00,6.2,-2.38
-5.440e+00,6.2,-2.38
-5.432e+00,5.8,-2.38
-5.424e+00,5.8,-2.38
-5.416e+00,5.8,-2.38
-5.408e+00,5.8,-2.38
-5.400e+00,5.8,-2.38
-5.392e+00,5.4,-2.38
-5.384e+00,5.4,-2.38
-5.376e+00,5.4,-2.38
-5.368e+00,5.4,-2.38
-5.360e+00,5,-2.38
-5.352e+00,5,-2.38
-5.344e+00,5.4,-2.38
-5.336e+00,5,-2.38
-5.328e+00,5,-2.38
-5.320e+00,4.6,-2.38
-5.312e+00,4.6,-2.38
-5.304e+00,4.6,-2.38
-5.296e+00,4.6,-2.38
-5.288e+00,4.2,-2.38
-5.280e+00,4.2,-2.38
-5.272e+00,4.2,-2.38
-5.264e+00,3.8,-2.38
-5.256e+00,3.8,-2.38
-5.248e+00,3.8,-2.38
-5.240e+00,3.8,-2.38
-5.232e+00,3.8,-2.38
-5.224e+00,3.4,-2.38
-5.216e+00,3.4,-2.38
-5.208e+00,3.4,-2.38
-5.200e+00,3.4,-2.38
-5.192e+00,3,-2.38
-5.184e+00,3.4,-2.38
-5.176e+00,3,-2.38
-5.168e+00,3,-2.38
-5.160e+00,2.6,-2.38
-5.152e+00,3,-2.38
-5.144e+00,2.6,-2.38
-5.136e+00,2.6,-2.38
-5.128e+00,2.2,-2.38
-5.120e+00,2.2,-2.38
-5.112e+00,2.2,-2.38
-5.104e+00,2.2,-2.38
-5.096e+00,1.8,-2.38
-5.088e+00,1.8,-2.38
-5.080e+00,1.8,-2.38
-5.072e+00,1.8,-2.38
-5.064e+00,1.8,-2.38
-5.056e+00,1.4,-2.38
-5.048e+00,1.4,-2.38
-5.040e+00,1.4,-2.38
-5.032e+00,1,-2.38
-5.024e+00,1,-2.38
-5.016e+00,1,-2.38
-5.008e+00,1,-2.38
-5.000e+00,1,-2.38
-4.992e+00,0.6,-2.38
-4.984e+00,0.6,-2.38
-4.976e+00,0.6,-2.38
-4.968e+00,0.2,-2.38
