Model,TBS2102B
Firmware Version,v1.32.139

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.4,
Sample Interval,0.0032,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,10,2
Label,,
TIME,CH1,CH2
-3.200e+00,9.2,0.28
-3.197e+00,9.2,0.2
-3.194e+00,9.2,0.2
-3.190e+00,9.6,0.28
-3.187e+00,9.2,0.28
-3.184e+00,9.2,0.28
-3.181e+00,9.6,0.28
-3.178e+00,9.2,0.28
-3.174e+00,9.6,0.2
-3.171e+00,9.6,0.2
-3.168e+00,9.2,0.2
-3.165e+00,9.6,0.2
-3.162e+00,9.6,0.2
-3.158e+00,9.6,0.2
-3.155e+00,9.6,0.28
-3.152e+00,9.6,0.2
-3.149e+00,9.6,0.2
-3.146e+00,9.6,0.2
-3.142e+00,9.6,0.2
-3.139e+00,9.2,0.2
-3.136e+00,9.6,0.2
-3.133e+00,9.6,0.2
-3.130e+00,9.6,0.12
-3.126e+00,9.6,0.2
-3.123e+00,9.6,0.2
-3.120e+00,9.6,0.2
-3.117e+00,9.6,0.2
-3.114e+00,9.6,0.2
-3.110e+00,10,0.2
-3.107e+00,9.6,0.12
-3.104e+00,9.6,0.12
-3.101e+00,9.6,0.2
-3.098e+00,9.6,0.2
-3.094e+00,9.6,0.2
-3.091e+00,9.6,0.2
-3.088e+00,9.6,0.2
-3.085e+00,9.6,0.2
-3.082e+00,9.6,0.2
-3.078e+00,9.6,0.2
-3.075e+00,9.6,0.12
-3.072e+00,10,0.12
-3.069e+00,9.6,0.2
-3.066e+00,9.6,0.2
-3.062e+00,10,0.2
-3.059e+00,9.6,0.2
-3.056e+00,9.6,0.12
-3.053e+00,10,0.2
-3.050e+00,9.6,0.12
-3.046e+00,9.6,0.12
-3.043e+00,9.6,0.12
-3.040e+00,9.6,0.12
-3.037e+00,9.6,0.12
-3.034e+00,9.6,0.0400001
-3.030e+00,9.6,0.12
-3.027e+00,9.6,0.2
-3.024e+00,9.6,0.12
-3.021e+00,9.6,0.12
-3.018e+00,9.6,0.12
-3.014e+00,9.6,0.12
-3.011e+00,9.6,0.12
-3.008e+00,9.6,0.12
-3.005e+00,9.6,0.0400001
-3.002e+00,10,0.12
-2.998e+00,9.6,0.12
-2.995e+00,9.6,0.12
-2.992e+00,10,0.12
-2.989e+00,10,0.12
-2.986e+00,9.6,0.12
-2.982e+00,9.6,0.12
-2.979e+00,10,0.12
-2.976e+00,9.6,-4.76
-2.973e+00,6,-4.76
-2.970e+00,2.4,-4.76
-2.966e+00,-4.76837e-07,0.12
-2.963e+00,-0.4,0.12
-2.960e+00,-0.4,0.12
-2.957e+00,-0.4,0.12
-2.954e+00,-0.4,0.12
-2.950e+00,-0.4,0.0400001
-2.947e+00,-4.76837e-07,-0.0399999
-2.944e+00,-0.4,-0.0399999
-2.941e+00,-0.4,-0.2
-2.938e+00,-0.4,-0.28
-2.934e+00,-0.4,-0.36
-2.931e+00,-0.4,-0.52
-2.928e+00,-0.4,-0.6
-2.925e+00,-0.4,-0.76
-2.922e+00,-0.4,-0.92
-2.918e+00,-0.4,-1.08
-2.915e+00,-0.4,-1.32
-2.912e+00,-0.4,-1.48
-2.909e+00,-0.4,-1.72
-2.906e+00,-0.4,-1.88
-2.902e+00,-0.4,-2.12
-2.899e+00,-0.4,-2.36
-2.896e+00,-0.4,-2.68
-2.893e+00,-0.4,-2.92
-2.890e+00,-0.4,-3.16
-2.886e+00,-4.76837e-07,-3.4
-2.883e+00,-0.4,-3.64
-2.880e+00,-0.4,-3.88
-2.877e+00,-0.4,-4.12
-2.874e+00,-4.76837e-07,-4.28
-2.870e+00,-4.76837e-07,-4.52
-2.867e+00,-0.4,-4.68
-2.864e+00,-0.4,-4.76
-2.861e+00,-4.76837e-07,-4.76
-2.858e+00,-0.4,-4.76
-2.854e+00,-4.76837e-07,-4.76
-2.851e+00,-4.76837e-07,-4.76
-2.848e+00,-4.76837e-07,-4.76
-2.845e+00,-4.76837e-07,-4.76
-2.842e+00,-4.76837e-07,-4.76
-2.838e+00,-4.76837e-07,-4.76
-2.835e+00,-4.76837e-07,-4.76
-2.832e+00,-4.76837e-07,-4.76
-2.829e+00,-4.76837e-07,-4.76
-2.826e+00,-0.4,-4.76
-2.822e+00,-4.76837e-07,-4.76
-2.819e+00,-4.76837e-07,-4.76
-2.816e+00,-4.76837e-07,-4.76
-2.813e+00,-4.76837e-07,-4.76
-2.810e+00,-4.76837e-07,-4.76
-2.806e+00,-4.76837e-07,-4.76
-2.803e+00,-4.76837e-07,-4.76
-2.800e+00,-4.76837e-07,-4.76
-2.797e+00,-4.76837e-07,-4.76
-2.794e+00,0.4,-4.76
-2.790e+00,-4.76837e-07,-4.76
-2.787e+00,-4.76837e-07,-4.76
-2.784e+00,-4.76837e-07,-4.76
-2.781e+00,-4.76837e-07,-4.76
-2.778e+00,-4.76837e-07,-4.76
-2.774e+00,-4.76837e-07,-4.76
-2.771e+00,0.4,-4.76
-2.768e+00,-4.76837e-07,-4.76
-2.765e+00,-4.76837e-07,-4.76
-2.762e+00,-4.76837e-07,-4.76
-2.758e+00,-4.76837e-07,-4.76
-2.755e+00,-4.76837e-07,-4.76
-2.752e+00,-4.76837e-07,-4.76
-2.749e+00,-4.76837e-07,-4.76
-2.746e+00,-4.76837e-07,-4.76
-2.742e+00,0.4,-4.76
-2.739e+00,-4.76837e-07,-4.68
-2.736e+00,-4.76837e-07,-4.6
-2.733e+00,0.4,-4.52
-2.730e+00,-4.76837e-07,-4.44
-2.726e+00,-4.76837e-07,-4.36
-2.723e+00,-4.76837e-07,-4.2
-2.720e+00,-4.76837e-07,-4.2
-2.717e+00,-4.76837e-07,-4.12
-2.714e+00,-4.76837e-07,-4.04
-2.710e+00,-4.76837e-07,-3.96
-2.707e+00,0.4,-3.88
-2.704e+00,-4.76837e-07,-3.8
-2.701e+00,0.4,-3.8
-2.698e+00,-4.76837e-07,-3.72
-2.694e+00,-4.76837e-07,-3.64
-2.691e+00,0.4,-3.56
-2.688e+00,0.4,-3.48
-2.685e+00,0.4,-3.4
-2.682e+00,-4.76837e-07,-3.32
-2.678e+00,0.4,-3.32
-2.675e+00,-4.76837e-07,-3.24
-2.672e+00,0.4,-3.24
-2.669e+00,0.4,-3.16
-2.666e+00,0.4,-3.08
-2.662e+00,-4.76837e-07,-3
-2.659e+00,0.4,-3
-2.656e+00,-4.76837e-07,-2.92
