Model,TBS2102B
Firmware Version,v1.32.139

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4,
Sample Interval,0.032,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,10
Label,,
TIME,CH1,CH2
-3.200e+01,0,-15.2
-3.197e+01,0,-15.2
-3.194e+01,0,-15.6
-3.190e+01,0,-15.6
-3.187e+01,0,-15.6
-3.184e+01,0,-15.6
-3.181e+01,0,-15.2
-3.178e+01,0,-15.6
-3.174e+01,0,-15.6
-3.171e+01,0,-16
-3.168e+01,0.2,-15.6
-3.165e+01,0,-15.6
-3.162e+01,0.2,-16
-3.158e+01,0,-16
-3.155e+01,0,-15.6
-3.152e+01,0,-15.6
-3.149e+01,0,-16
-3.146e+01,0,-15.6
-3.142e+01,0,-16
-3.139e+01,0,-16
-3.136e+01,0.2,-15.6
-3.133e+01,0,-15.6
-3.130e+01,0,-16
-3.126e+01,-0.2,-16
-3.123e+01,0,-15.6
-3.120e+01,0,-15.6
-3.117e+01,0,-16
-3.114e+01,0,-16
-3.110e+01,0,-16
-3.107e+01,0,-15.6
-3.104e+01,0.2,-16
-3.101e+01,0,-16
-3.098e+01,-0.2,-16.4
-3.094e+01,-0.2,-16
-3.091e+01,0,-16
-3.088e+01,0,-16.4
-3.085e+01,0,-16
-3.082e+01,0,-16
-3.078e+01,-0.2,-16.4
-3.075e+01,-0.2,-16.4
-3.072e+01,0,-16.8
-3.069e+01,0.2,-16.4
-3.066e+01,0,-16.8
-3.062e+01,-0.2,-16.8
-3.059e+01,-0.2,-16.4
-3.056e+01,0,-16.4
-3.053e+01,0.2,-16
-3.050e+01,0.2,-16.4
-3.046e+01,0,-16.8
-3.043e+01,0,-16.8
-3.040e+01,0,-16.8
-3.037e+01,0,-16.8
-3.034e+01,0,-16.8
-3.030e+01,0,-16.4
-3.027e+01,0,-16.8
-3.024e+01,0,-16.8
-3.021e+01,0,-16.4
-3.018e+01,0,-17.2
-3.014e+01,0.2,-16.8
-3.011e+01,0,-17.2
-3.008e+01,0,-17.2
-3.005e+01,-0.2,-17.2
-3.002e+01,0,-17.6
-2.998e+01,0,-17.2
-2.995e+01,0.2,-17.6
-2.992e+01,0.2,-17.6
-2.989e+01,0,-17.6
-2.986e+01,0,-17.2
-2.982e+01,0,-17.6
-2.979e+01,0,-17.2
-2.976e+01,0.2,-17.6
-2.973e+01,0.2,-17.6
-2.970e+01,0,-17.6
-2.966e+01,0.2,-17.6
-2.963e+01,0,-17.6
-2.960e+01,0.2,-17.6
-2.957e+01,0,-17.6
-2.954e+01,-0.2,-17.6
-2.950e+01,0,-17.6
-2.947e+01,0.2,-17.6
-2.944e+01,0.2,-17.6
-2.941e+01,0,-17.6
-2.938e+01,0,-18
-2.934e+01,0,-18
-2.931e+01,0,-17.6
-2.928e+01,0.2,-17.6
-2.925e+01,0,-18
-2.922e+01,0,-18
-2.918e+01,0,-18
-2.915e+01,0,-18
-2.912e+01,0,-18
-2.909e+01,0,-18
-2.906e+01,0,-17.6
-2.902e+01,0.2,-18
-2.899e+01,0,-18
-2.896e+01,0,-17.6
-2.893e+01,0,-18
-2.890e+01,0.2,-18
-2.886e+01,0,-18
-2.883e+01,0,-18
-2.880e+01,0.2,-18
-2.877e+01,0.2,-18.4
-2.874e+01,0,-18.4
-2.870e+01,0,-18
-2.867e+01,0,-18
-2.864e+01,0,-18
-2.861e+01,0.2,-18.4
-2.858e+01,0,-18.4
-2.854e+01,0,-18.4
-2.851e+01,0.2,-18.4
-2.848e+01,0,-18.4
-2.845e+01,0,-18.4
-2.842e+01,0.2,-18.4
-2.838e+01,0,-18.4
-2.835e+01,0,-18.8
-2.832e+01,0,-18.4
-2.829e+01,0,-18.8
-2.826e+01,0.2,-18.8
-2.822e+01,0,-18.8
-2.819e+01,0,-18.8
-2.816e+01,0,-19.2
-2.813e+01,0,-18.8
-2.810e+01,0,-19.2
-2.806e+01,0,-18.8
-2.803e+01,0,-19.2
-2.800e+01,0,-19.2
-2.797e+01,0,-19.2
-2.794e+01,0,-19.2
-2.790e+01,0,-19.2
-2.787e+01,0,-19.2
-2.784e+01,0,-19.2
-2.781e+01,0,-19.2
-2.778e+01,0.2,-19.2
-2.774e+01,0,-19.2
-2.771e+01,0,-19.2
-2.768e+01,0,-19.2
-2.765e+01,0,-19.2
-2.762e+01,0,-19.2
-2.758e+01,0.2,-19.6
-2.755e+01,0,-19.6
-2.752e+01,0,-20
-2.749e+01,0,-19.6
-2.746e+01,0,-19.6
-2.742e+01,0,-19.6
-2.739e+01,0,-19.2
-2.736e+01,0,-20
-2.733e+01,0,-19.6
-2.730e+01,0,-19.2
-2.726e+01,0,-19.6
-2.723e+01,0,-20
-2.720e+01,0,-19.6
-2.717e+01,0,-19.6
-2.714e+01,0,-20
-2.710e+01,-0.2,-20
-2.707e+01,-0.2,-19.6
-2.704e+01,0,-20
-2.701e+01,0,-20
-2.698e+01,0.2,-20
-2.694e+01,0,-20
-2.691e+01,0,-19.6
-2.688e+01,0,-20
-2.685e+01,0,-19.6
-2.682e+01,0,-19.6
-2.678e+01,0.2,-20
-2.675e+01,0,-20
-2.672e+01,0,-20
-2.669e+01,0,-19.6
-2.666e+01,0.2,-20
-2.662e+01,0.2,-20
-2.659e+01,0,-20
-2.656e+01,0,-19.6
-2.653e+01,0,-19.6
-2.650e+01,0.2,-19.6
-2.646e+01,0,-20
-2.643e+01,0,-20
-2.640e+01,0.2,-20.4
-2.637e+01,0,-20.4
-2.634e+01,0,-20.8
-2.630e+01,0,-20.4
-2.627e+01,0.2,-20.4
-2.624e+01,0,-20.4
-2.621e+01,0.2,-20
-2.618e+01,0,-20.4
-2.614e+01,0,-20
-2.611e+01,0,-20.4
-2.608e+01,0,-20.4
-2.605e+01,0,-20.8
-2.602e+01,0,-20.8
-2.598e+01,0,-20.8
-2.595e+01,0,-20.8
-2.592e+01,0,-20.8
-2.589e+01,0.2,-20.8
-2.586e+01,0,-20.8
-2.582e+01,0,-20.8
-2.579e+01,0.2,-20.4
-2.576e+01,0,-20.8
-2.573e+01,0.2,-20.4
-2.570e+01,0,-20.8
-2.566e+01,0,-20.8
-2.563e+01,-0.2,-21.2
-2.560e+01,0,-20.8
-2.557e+01,0,-20.8
-2.554e+01,0.2,-20.8
-2.550e+01,0,-21.2
