Model,TBS2102B
Firmware Version,v1.32.139

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,10,
Sample Interval,0.08,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,5
Label,,
TIME,CH1,CH2
-8.000e+01,0.02,-0.1
-7.992e+01,0.02,-0.1
-7.984e+01,0.02,-0.1
-7.976e+01,0.02,-0.1
-7.968e+01,0.02,-0.1
-7.960e+01,0.02,-0.1
-7.952e+01,0.02,-0.3
-7.944e+01,0.02,-0.1
-7.936e+01,-0.02,-0.1
-7.928e+01,0.02,-0.1
-7.920e+01,0.02,-0.3
-7.912e+01,0.02,-0.1
-7.904e+01,0.02,-0.1
-7.896e+01,-0.02,-0.1
-7.888e+01,0.02,-0.3
-7.880e+01,-0.02,-0.1
-7.872e+01,0.02,-0.1
-7.864e+01,0.02,-0.1
-7.856e+01,-0.02,-0.1
-7.848e+01,0.02,-0.1
-7.840e+01,0.02,-0.1
-7.832e+01,0.02,-0.1
-7.824e+01,0.02,-0.1
-7.816e+01,-0.02,-0.1
-7.808e+01,-0.02,-0.1
-7.800e+01,0.02,-0.1
-7.792e+01,-0.02,-0.1
-7.784e+01,0.02,-0.1
-7.776e+01,0.02,0.1
-7.768e+01,0.02,-0.1
-7.760e+01,0.02,-0.1
-7.752e+01,-0.02,-0.1
-7.744e+01,-0.02,-0.1
-7.736e+01,-0.02,-0.1
-7.728e+01,0.02,-0.1
-7.720e+01,0.02,-0.1
-7.712e+01,0.02,-0.1
-7.704e+01,-0.02,-0.1
-7.696e+01,-0.02,-0.1
-7.688e+01,-0.02,-0.3
-7.680e+01,-0.02,-0.1
-7.672e+01,-0.02,-0.1
-7.664e+01,0.02,-0.1
-7.656e+01,-0.02,-0.1
-7.648e+01,0.02,-0.1
-7.640e+01,0.02,-0.1
-7.632e+01,0.02,-0.3
-7.624e+01,-0.02,-0.1
-7.616e+01,-0.02,-0.1
-7.608e+01,-0.02,-0.1
-7.600e+01,0.02,-0.1
-7.592e+01,0.02,-0.3
-7.584e+01,0.02,-0.1
-7.576e+01,0.02,-0.1
-7.568e+01,0.02,-0.1
-7.560e+01,0.02,-0.1
-7.552e+01,0.02,-0.1
-7.544e+01,-0.02,-0.1
-7.536e+01,0.02,-0.1
-7.528e+01,-0.02,-0.1
-7.520e+01,0.02,-0.1
-7.512e+01,-0.02,-0.1
-7.504e+01,0.02,-0.1
-7.496e+01,-0.02,-0.1
-7.488e+01,-0.02,-0.1
-7.480e+01,0.02,-0.1
-7.472e+01,0.02,-0.1
-7.464e+01,0.02,-0.1
-7.456e+01,0.02,-0.1
-7.448e+01,-0.02,-0.1
-7.440e+01,0.02,-0.1
-7.432e+01,0.02,-0.1
-7.424e+01,0.02,-0.3
-7.416e+01,0.02,-0.1
-7.408e+01,0.02,-0.1
-7.400e+01,0.02,-0.1
-7.392e+01,0.02,-0.1
-7.384e+01,0.02,-0.3
-7.376e+01,0.02,-0.1
-7.368e+01,0.02,-0.1
-7.360e+01,0.02,-0.1
-7.352e+01,0.02,-0.1
-7.344e+01,0.02,-0.1
-7.336e+01,-0.02,-0.1
-7.328e+01,0.02,-0.1
-7.320e+01,0.02,-0.1
-7.312e+01,0.02,-0.1
-7.304e+01,0.02,-0.1
-7.296e+01,-0.02,-0.1
-7.288e+01,0.02,-0.1
-7.280e+01,-0.02,-0.1
-7.272e+01,-0.02,-0.1
-7.264e+01,-0.02,-0.1
-7.256e+01,0.02,-0.1
-7.248e+01,-0.02,-0.1
-7.240e+01,-0.02,-0.1
-7.232e+01,-0.02,-0.1
-7.224e+01,-0.02,-0.1
-7.216e+01,0.02,-0.1
-7.208e+01,0.02,-0.1
-7.200e+01,0.02,-0.1
-7.192e+01,-0.02,-0.1
-7.184e+01,0.02,-0.1
-7.176e+01,0.02,-0.1
-7.168e+01,-0.02,-0.1
-7.160e+01,0.02,-0.1
-7.152e+01,-0.02,-0.1
-7.144e+01,-0.02,-0.1
-7.136e+01,0.02,-0.1
-7.128e+01,0.02,-0.1
-7.120e+01,0.02,-0.3
-7.112e+01,-0.02,-0.1
-7.104e+01,-0.02,-0.3
-7.096e+01,0.02,-0.1
-7.088e+01,0.02,-0.1
-7.080e+01,0.02,-0.1
-7.072e+01,0.02,-0.1
-7.064e+01,-0.02,-0.1
-7.056e+01,-0.02,-0.1
-7.048e+01,0.02,-0.1
-7.040e+01,0.02,-0.1
-7.032e+01,0.02,-0.1
-7.024e+01,0.02,-0.1
-7.016e+01,0.02,-0.1
-7.008e+01,-0.02,-0.1
-7.000e+01,0.02,-0.1
-6.992e+01,0.02,-0.1
-6.984e+01,0.02,-0.1
-6.976e+01,0.02,-0.1
-6.968e+01,0.02,-0.1
-6.960e+01,0.02,-0.1
-6.952e+01,0.02,-0.1
-6.944e+01,-0.02,-0.1
-6.936e+01,-0.02,-0.1
-6.928e+01,-0.02,-0.1
-6.920e+01,-0.02,-0.3
-6.912e+01,-0.02,-0.1
-6.904e+01,0.02,-0.1
-6.896e+01,0.02,-0.1
-6.888e+01,0.02,-0.1
-6.880e+01,0.02,-0.1
-6.872e+01,0.02,-0.1
-6.864e+01,-0.02,-0.1
-6.856e+01,0.02,-0.1
-6.848e+01,0.02,0.1
-6.840e+01,-0.02,-0.1
-6.832e+01,0.02,-0.1
-6.824e+01,-0.02,-0.1
-6.816e+01,-0.02,-0.1
-6.808e+01,0.02,-0.1
-6.800e+01,-0.02,-0.1
-6.792e+01,0.02,-0.1
-6.784e+01,0.02,-0.1
-6.776e+01,-0.02,-0.1
-6.768e+01,0.02,-0.1
-6.760e+01,0.02,-0.1
-6.752e+01,0.02,-0.1
-6.744e+01,0.02,-0.1
-6.736e+01,0.02,-0.1
-6.728e+01,-0.02,-0.1
-6.720e+01,-0.02,-0.1
-6.712e+01,0.02,-0.1
-6.704e+01,-0.02,-0.1
-6.696e+01,0.02,-0.1
-6.688e+01,-0.02,-0.1
-6.680e+01,0.02,-0.1
-6.672e+01,-0.02,-0.1
-6.664e+01,-0.02,-0.1
-6.656e+01,0.02,-0.1
-6.648e+01,-0.02,-0.1
-6.640e+01,-0.02,-0.1
-6.632e+01,0.02,-0.1
-6.624e+01,-0.02,-0.1
-6.616e+01,0.02,-0.1
-6.608e+01,0.02,-0.3
-6.600e+01,-0.02,-0.1
-6.592e+01,0.02,-0.1
-6.584e+01,0.02,-0.1
-6.576e+01,-0.02,-0.1
-6.568e+01,0.02,-0.3
-6.560e+01,-0.02,-0.1
-6.552e+01,-0.02,-0.1
-6.544e+01,0.02,-0.1
-6.536e+01,0.02,-0.1
-6.528e+01,0.02,-0.1
-6.520e+01,-0.02,-0.3
-6.512e+01,-0.02,-0.1
-6.504e+01,0.02,-0.1
-6.496e+01,0.02,-0.1
-6.488e+01,0.02,-0.3
-6.480e+01,-0.02,-0.1
-6.472e+01,0.02,-0.1
-6.464e+01,0.02,-0.1
-6.456e+01,-0.02,-0.1
-6.448e+01,-0.02,-0.3
-6.440e+01,0.02,-0.1
-6.432e+01,0.02,-0.1
-6.424e+01,0.02,-0.1
-6.416e+01,0.02,-0.1
-6.408e+01,0.02,-0.1
