Model,TBS2102B
Firmware Version,v1.32.139

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4,
Sample Interval,0.032,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,10,2
Label,,
TIME,CH1,CH2
-3.200e+01,-41.8,1.4
-3.197e+01,-41.4,1.08
-3.194e+01,-41.4,1.08
-3.190e+01,-41.8,1.24
-3.187e+01,-41.4,1.32
-3.184e+01,-41.8,1.08
-3.181e+01,-41.4,0.92
-3.178e+01,-41.8,0.84
-3.174e+01,-41.8,1.08
-3.171e+01,-41.4,1.4
-3.168e+01,-41.4,1.4
-3.165e+01,-41.8,1.16
-3.162e+01,-41.4,0.68
-3.158e+01,-41.4,0.68
-3.155e+01,-41.4,1.24
-3.152e+01,-41.4,1.64
-3.149e+01,-41.8,1.48
-3.146e+01,-41.4,0.84
-3.142e+01,-41.4,0.6
-3.139e+01,-41.4,0.92
-3.136e+01,-41.4,1.56
-3.133e+01,-41.4,1.56
-3.130e+01,-41.4,1.32
-3.126e+01,-41.4,1
-3.123e+01,-41,1.24
-3.120e+01,-41.4,1.72
-3.117e+01,-41,1.64
-3.114e+01,-41.4,1
-3.110e+01,-41,0.28
-3.107e+01,-41.4,0.28
-3.104e+01,-41.4,0.92
-3.101e+01,-41.4,1.32
-3.098e+01,-41.4,1.16
-3.094e+01,-41,0.92
-3.091e+01,-41.4,1
-3.088e+01,-41.4,1.4
-3.085e+01,-41.4,1.88
-3.082e+01,-41.4,1.8
-3.078e+01,-41.4,1.32
-3.075e+01,-41,0.92
-3.072e+01,-41.4,0.92
-3.069e+01,-41.4,1.16
-3.066e+01,-41.4,1.56
-3.062e+01,-41.4,1.72
-3.059e+01,-41.4,1.56
-3.056e+01,-41,1.32
-3.053e+01,-41,1.16
-3.050e+01,-41.4,1.08
-3.046e+01,-41.4,1.08
-3.043e+01,-41.4,1.08
-3.040e+01,-41.4,0.84
-3.037e+01,-41.4,0.68
-3.034e+01,-41.4,0.92
-3.030e+01,-41.4,1.4
-3.027e+01,-41.4,1.64
-3.024e+01,-41.4,1.4
-3.021e+01,-41.4,1.08
-3.018e+01,-41.4,1
-3.014e+01,-41.4,1.16
-3.011e+01,-41.4,1.32
-3.008e+01,-41.4,1.16
-3.005e+01,-41.4,1
-3.002e+01,-41.4,1.16
-2.998e+01,-41.4,1.4
-2.995e+01,-41.4,1.56
-2.992e+01,-41,1.24
-2.989e+01,-41.4,0.92
-2.986e+01,-41,0.84
-2.982e+01,-41,1.08
-2.979e+01,-41.4,1.32
-2.976e+01,-41,1.4
-2.973e+01,-41.4,1.24
-2.970e+01,-41.4,0.92
-2.966e+01,-41,0.84
-2.963e+01,-41,0.76
-2.960e+01,-41.4,0.76
-2.957e+01,-41.4,0.84
-2.954e+01,-40.6,1.16
-2.950e+01,-41,1.4
-2.947e+01,-41,1.4
-2.944e+01,-41.4,1.32
-2.941e+01,-41,1
-2.938e+01,-41,0.92
-2.934e+01,-41.4,1
-2.931e+01,-41,1.16
-2.928e+01,-41.4,1.08
-2.925e+01,-41,0.92
-2.922e+01,-41,0.92
-2.918e+01,-41,1.16
-2.915e+01,-41.4,1.32
-2.912e+01,-41,1.16
-2.909e+01,-41,0.92
-2.906e+01,-41.4,0.92
-2.902e+01,-41.4,1
-2.899e+01,-41.4,1.16
-2.896e+01,-41.4,1.16
-2.893e+01,-41.4,0.84
-2.890e+01,-41.4,0.52
-2.886e+01,-41.4,0.6
-2.883e+01,-41,0.84
-2.880e+01,-41,1.08
-2.877e+01,-41,1
-2.874e+01,-41,0.84
-2.870e+01,-41,0.6
-2.867e+01,-41,0.76
-2.864e+01,-41,1
-2.861e+01,-41,1.24
-2.858e+01,-41,1.16
-2.854e+01,-41,0.92
-2.851e+01,-41,0.92
-2.848e+01,-41,1.32
-2.845e+01,-41,1.48
-2.842e+01,-41,1.4
-2.838e+01,-41.4,1.16
-2.835e+01,-41,0.92
-2.832e+01,-41,0.6
-2.829e+01,-41,0.12
-2.826e+01,-41,-0.68
-2.822e+01,-41.4,-0.84
-2.819e+01,-40.6,-0.12
-2.816e+01,-41.4,1.08
-2.813e+01,-41,1.8
-2.810e+01,-41,1.48
-2.806e+01,-40.6,0.52
-2.803e+01,-40.6,-0.12
-2.800e+01,-41,0.2
-2.797e+01,-41,0.68
-2.794e+01,-41,1
-2.790e+01,-41,0.92
-2.787e+01,-41,0.92
-2.784e+01,-41,1.4
-2.781e+01,-41,1.72
-2.778e+01,-40.6,1.56
-2.774e+01,-41,1
-2.771e+01,-41,0.52
-2.768e+01,-41,0.44
-2.765e+01,-41,0.6
-2.762e+01,-41,0.68
-2.758e+01,-41,0.6
-2.755e+01,-41,0.68
-2.752e+01,-41.4,1.16
-2.749e+01,-40.6,1.48
-2.746e+01,-41,1.4
-2.742e+01,-41,1.24
-2.739e+01,-41.4,1.32
-2.736e+01,-41,1.32
-2.733e+01,-41,1.16
-2.730e+01,-41,1
-2.726e+01,-41,0.92
-2.723e+01,-40.6,0.92
-2.720e+01,-41,0.84
-2.717e+01,-41,0.84
-2.714e+01,-41,0.92
-2.710e+01,-41.4,1
-2.707e+01,-41,1.08
-2.704e+01,-41,1.08
-2.701e+01,-41.4,0.92
-2.698e+01,-41,0.84
-2.694e+01,-41.4,0.76
-2.691e+01,-41,0.68
-2.688e+01,-41.4,0.6
-2.685e+01,-41.4,0.6
-2.682e+01,-41,0.6
-2.678e+01,-41.4,0.6
-2.675e+01,-41,0.6
-2.672e+01,-41,0.6
-2.669e+01,-41,0.6
-2.666e+01,-41.4,0.52
-2.662e+01,-41.4,0.44
-2.659e+01,-41,0.36
-2.656e+01,-41.4,0.52
-2.653e+01,-41.4,0.68
-2.650e+01,-41,0.92
-2.646e+01,-41,1.08
-2.643e+01,-41.4,1.08
-2.640e+01,-41.4,1.08
-2.637e+01,-41,1.08
-2.634e+01,-41,1.16
-2.630e+01,-41.4,1.24
-2.627e+01,-41,1.16
-2.624e+01,-41.4,1.16
-2.621e+01,-41,1.08
-2.618e+01,-41,1.24
-2.614e+01,-41,1.56
-2.611e+01,-41,1.64
-2.608e+01,-41,1.32
-2.605e+01,-41,0.68
-2.602e+01,-41,0.28
-2.598e+01,-41,0.52
-2.595e+01,-40.6,1.24
-2.592e+01,-41,1.72
-2.589e+01,-41,1.48
